,codaNUM2018,REC,nClicks,Duration,ICI1,ICI2,ICI3,ICI4,ICI5,ICI6,ICI7,ICI8,ICI9,ICI10,ICI11,ICI12,ICI13,ICI14,ICI15,ICI16,ICI17,ICI18,ICI19,ICI20,ICI21,ICI22,ICI23,ICI24,ICI25,ICI26,ICI27,ICI28,ICI29,ICI30,ICI31,ICI32,ICI33,ICI34,ICI35,ICI36,ICI37,ICI38,ICI39,ICI40,ELKI2,ELKI2name,Unit,UnitNum,IDN,Date,TagOnTime,Name,Bout,Whale,Coda,TsTo,Tag,Focal,IPI1,IPI2,IPI3,IPI4,IPI5,IPI6,IPI7,IPI8,IPI9,IPI10,IPI11,IPI12,IPI13,IPI14,IPI15,IPI16,IPI17,IPI18,IPI19,IPI20,IPI21,IPI22,IPI23,IPI24,IPI25,IPI26,IPI27,IPI28,IPI29,IPI30,IPI31,IPI32,IPI33,IPI34,IPI35,IPI36,IPI37,IPI38,IPI39,IPI40
7273,7274,sw090b001_3663,5,1.2217036000000001,0.4386677,0.4389373,0.1689768,0.1751218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,U,11,0,31-03-2015,08:20:59,FORK,3.0,4.0,7.0,3697.9278,sw090b,0.0,2.275,2.2333333,3.375,3.325,3.3333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7274,7275,sw090b001_3663,5,1.2138097,0.4543207,0.3946502,0.1872412,0.1775976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,U,11,0,31-03-2015,08:20:59,FORK,3.0,4.0,8.0,3702.2423,sw090b,0.0,3.4083333,3.4583333,3.4333333,3.3916667,3.3666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7275,7276,sw090b001_3663,5,1.2271539,0.448281,0.4139215,0.1741744,0.190777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,U,11,0,31-03-2015,08:20:59,FORK,3.0,4.0,9.0,3706.8716,sw090b,0.0,3.4416667,3.4416667,3.45,3.4333333,3.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7276,7277,sw090b001_3663,5,1.3209579,0.4614772,0.4264807,0.2167334,0.2162666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,U,11,0,31-03-2015,08:20:59,FORK,3.0,4.0,10.0,3715.6078,sw090b,0.0,3.5083333,3.5166667,3.5083333,3.5333333,3.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7277,7278,sw090b001_3663,5,1.3531372,0.4626157,0.4283593,0.2317416,0.2304206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,U,11,0,31-03-2015,08:20:59,FORK,3.0,4.0,11.0,3720.0424,sw090b,0.0,3.4666667,3.4916667,3.525,3.4916667,3.4416667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7278,7279,sw090b001_3663,5,1.3939028,0.4889778,0.471,0.2193917,0.2145333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,U,11,0,31-03-2015,08:20:59,FORK,3.0,4.0,12.0,3724.9979,sw090b,0.0,3.475,3.4833333,3.4583333,3.4583333,3.4333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7279,7280,sw090b001_3663,5,1.3402312,0.4796072,0.4401052,0.214529,0.2059898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,U,11,0,31-03-2015,08:20:59,FORK,3.0,4.0,13.0,3729.6798,sw090b,0.0,3.4916667,3.5,3.4916667,3.3416667,3.3666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7280,7281,sw090b001_3663,5,1.3996787,0.4646386,0.4750827,0.2300255,0.2299319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,U,11,0,31-03-2015,08:20:59,FORK,3.0,4.0,14.0,3734.2991,sw090b,0.0,3.4666667,3.5166667,3.475,3.4583333,3.4416667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7281,7282,sw090b001_3663,5,1.3552217000000002,0.4667335,0.4472371,0.2172593,0.2239918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,U,11,0,31-03-2015,08:20:59,FORK,3.0,4.0,15.0,3738.8691,sw090b,0.0,3.5416667,3.5,3.475,3.4583333,3.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7282,7283,sw090b001_3663,5,1.3684410999999999,0.4799582,0.4574414,0.2133249,0.2177166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,U,11,0,31-03-2015,08:20:59,FORK,3.0,4.0,16.0,3743.6193,sw090b,0.0,3.4583333,3.4833333,3.4833333,3.475,3.4833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
